ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics,Domains
210418.0,Tavern Masters,2017.0,1,6,30,13,209,6.81804,6442,2.0,449.0,"Card Drafting, Cooperative Game, Hand Management, Simultaneous Action Selection, Trading",Unknown
21469.0,Spectral Rails,2011.0,3,4,60,12,254,6.37113,6443,2.5,728.0,"Auction/Bidding, Hand Management, Pick-up and Deliver",Unknown
299607.0,Capital Lux 2: Generations,2020.0,1,4,40,10,89,7.78258,6444,2.3333,309.0,"Card Drafting, Hand Management, Variable Set-up",Unknown
191038.0,West of Africa,2016.0,2,5,90,10,293,6.28242,6445,2.6667,592.0,"Area Majority / Influence, Pick-up and Deliver, Point to Point Movement, Simultaneous Action Selection",Unknown
179661.0,KINMO,2015.0,2,10,25,10,111,7.5173,6446,1.1667,162.0,"Hand Management, Set Collection, Take That",Family Games
144468.0,Jungle Speed Safari,2013.0,2,6,15,5,343,6.20717,6447,1.0625,734.0,Pattern Recognition,Unknown
127839.0,Mage Tower: A Tower Defense Card Game,2013.0,1,4,30,13,183,6.62645,6448,2.8333,332.0,"Card Drafting, Deck Bag and Pool Building, Hand Management",Unknown
136890.0,Hold the Line:  Frederick's War,2013.0,1,2,60,10,98,7.69694,6449,1.875,235.0,"Action Points, Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Modular Board, Scenario / Mission / Campaign Game, Simulation",Wargames
18975.0,Hunting Party,2005.0,2,5,90,13,352,6.18744,6450,2.4444,479.0,"Auction/Bidding, Variable Player Powers",Unknown
67285.0,Armorica,2010.0,2,4,30,12,217,6.49839,6451,2.2,277.0,"Card Drafting, Pattern Building",Strategy Games
1257.0,Starbase Jeff,1998.0,2,4,60,10,390,6.13933,6452,1.5294,814.0,Tile Placement,Family Games
63743.0,The World Cup Card Game 2010,2010.0,2,8,75,10,258,6.34767,6453,1.6,339.0,Hand Management,Family Games
301.0,Campanile,1996.0,2,5,30,10,351,6.17909,6454,1.6765,626.0,"Area Majority / Influence, Betting and Bluffing, Hand Management, Tile Placement",Family Games
264991.0,Par Odin,2018.0,1,1,30,8,138,6.95133,6455,2.6667,374.0,Dice Rolling,Unknown
5991.0,Lion of Ethiopia,1990.0,2,2,120,12,125,7.302,6456,2.375,498.0,Hexagon Grid,Wargames
265754.0,Exceed: Street Fighter - M. Bison Box,2019.0,2,2,25,10,65,8.62,6457,0.0,291.0,"Hand Management, Point to Point Movement, Variable Player Powers",Unknown
39169.0,"Warhammer 40,000: Codex",1994.0,2,2,120,10,137,6.9438,6458,3.4,1214.0,"Dice Rolling, Modular Board, Variable Player Powers",Unknown
212839.0,Heroes Welcome,2019.0,2,5,90,10,148,7.28716,6459,2.6667,383.0,"Pick-up and Deliver, Set Collection, Worker Placement",Unknown
119899.0,Gunrunners,2013.0,2,4,30,10,243,6.43766,6460,1.1818,539.0,"Area Majority / Influence, Hand Management, Secret Unit Deployment",Unknown
239845.0,Stuffed,2018.0,2,4,30,10,171,6.88328,6461,1.4,729.0,Dice Rolling,Unknown
9855.0,Strat-O-Matic Pro Basketball,1973.0,2,2,90,11,169,7.08394,6462,2.6667,297.0,Dice Rolling,"Strategy Games, Thematic Games"
2123.0,Shadowrun: The Trading Card Game,1997.0,2,8,60,12,282,6.40691,6463,2.7188,492.0,Unknown,Customizable Games
40370.0,Islas Canarias,2009.0,2,5,45,0,256,6.3416,6464,2.0938,295.0,Hand Management,Family Games
40759.0,Cartagena: Die Meuterei,2009.0,2,4,45,10,224,6.43874,6465,2.1765,456.0,Unknown,Unknown
260410.0,Horizon Zero Dawn: The Board Game,2020.0,1,4,90,12,209,7.21269,6466,2.125,723.0,"Action Points, Cooperative Game, Deck Bag and Pool Building, Hand Management",Unknown
263.0,Manitou,1997.0,2,4,45,12,368,6.12187,6467,1.9655,704.0,"Area Majority / Influence, Card Drafting, Hand Management, Rock-Paper-Scissors","Family Games, Strategy Games"
293348.0,Flesh and Blood,2019.0,2,2,0,0,79,8.67924,6468,3.8,172.0,Hand Management,Unknown
1245.0,Isis & Osiris,2001.0,2,4,20,7,949,5.82284,6469,1.3537,1705.0,Tile Placement,Abstract Games
218200.0,Constellations,2017.0,2,4,60,8,159,6.95962,6470,1.6667,508.0,"Hand Management, Modular Board, Set Collection, Tile Placement",Unknown
238412.0,Heropath: Dragon Roar,2018.0,1,4,120,12,124,8.3,6471,3.75,213.0,"Action Points, Action Queue, Area Movement, Card Drafting, Deck Bag and Pool Building, Dice Rolling, Hand Management, Role Playing, Trading, Variable Player Powers",Unknown
167650.0,"Last Battle: Ie Shima, 1945",2015.0,1,2,120,12,113,7.45531,6472,2.3333,342.0,"Area-Impulse, Dice Rolling, Simulation",Wargames
29026.0,Ogre Miniatures,1992.0,2,8,120,10,134,7.71866,6473,2.1429,363.0,"Dice Rolling, Measurement Movement, Scenario / Mission / Campaign Game, Simulation, Variable Player Powers, Variable Set-up",Unknown
170951.0,The Foreign King,2015.0,2,4,60,12,224,6.41562,6474,2.1818,539.0,"Area Majority / Influence, Area Movement",Unknown
246532.0,Rick and Morty: The Pickle Rick Game,2018.0,1,2,45,13,168,6.96655,6475,1.625,635.0,"Die Icon Resolution, Tile Placement",Unknown
53103.0,Aladdin's Dragons,2009.0,2,5,30,10,223,6.40906,6476,1.9545,544.0,"Auction/Bidding, Hand Management","Family Games, Strategy Games"
8782.0,"Narvik: The Campaign in Norway, 1940",1974.0,1,2,180,12,148,7.0098,6477,3.48,573.0,"Dice Rolling, Hexagon Grid, Simulation",Wargames
2179.0,Musketeers,1991.0,2,4,40,8,411,6.06251,6478,1.1071,997.0,"Auction/Bidding, Hand Management, Kill Steal, Simultaneous Action Selection",Family Games
